zone_id,mean_ndvi,mean_mvi,mean_temperature,annual_precipitation,mean_wind_speed,mean_elevation,mean_slope,nearest_aquaculture_distance_m,nearest_river_distance_m,lat,lon,municipality
ZONE_00fa0000000000001876,0.5842683358922877,1.4256484149855908,26.992435654112434,2901.216137495123,3.883662521316635,0,0.0,-1,-1,11.526282853695012,123.11954500118921,Carles
ZONE_00fa00000000000018ae,0.5842683358922877,1.4256484149855908,26.992435654112434,2901.216137495123,3.883662521316635,0,0.2725095641721698,-1,-1,11.522780300294466,123.12008258540884,Carles
ZONE_00fa00000000000018e1,0.6133899104196134,1.3473797947055646,26.95497941317491,2902.2739402579928,3.8289700433414198,0,0.0,-1,-1,11.517253671258972,123.10917090706478,Carles
ZONE_00fa00000000000018ef,0.436993699369937,1.0666666666666667,26.96393089768713,2901.3248662523765,3.8473064045326093,0,0.0,-1,-1,11.518738013619535,123.11253804769304,Carles
ZONE_00fa000000000000195e,-0.1891891891891892,2.2967032967032965,26.94498595370247,2899.994199751759,3.8337531069072677,0,0.0,-1,-1,11.5088994270114,123.2312500607438,Carles
ZONE_00fa0000000000001998,0.5011709601873536,1.5305535585909418,26.89990360430974,2901.504306419587,3.766041697845073,0,0.0,-1,-1,11.50256940666579,123.10418319711968,Carles
ZONE_00fa0000000000001a83,0.5051391326146903,1.0234156273861033,26.877063874685582,2900.5329755626253,3.7443659040920654,4,0.5270470638334351,-1,-1,11.491921838485673,123.11617526768583,Balasan
ZONE_00fa0000000000001a97,0.39859154929577467,0.7952622673434856,26.855855832013408,2903.0884350802476,3.698601488058557,4,0.5270470638334351,-1,-1,11.488687529624567,123.10701272754541,Balasan
ZONE_00fa0000000000001ab4,0.44157441574415746,1.0005216484089723,26.88157942959684,2899.9802532124995,3.7541751381579846,10,0.13176525018407376,-1,-1,11.48909232393928,123.13328887261336,Balasan
ZONE_00fa0000000000001abd,0.5051391326146903,1.0234156273861033,26.877063874685582,2900.5329755626253,3.7443659040920654,10,0.13176525018407376,-1,-1,11.487747029947407,123.13086315348329,Balasan
ZONE_00fa0000000000001b31,0.45484790874524716,0.8974008207934336,26.855169820528733,2899.660168597216,3.721749914489841,8,0.40684726916028624,-1,-1,11.483568313088483,123.12048903831848,Balasan
ZONE_00fa0000000000002126,-0.03051237766263673,1.8108108108108107,,,,0,0.0,-1,-1,11.59360999154824,123.34690763646432,Carles
ZONE_00fa000000000000215b,0.5334093500570125,1.2136075949367089,26.969224147088873,2900.753751563602,3.858224065866937,0,0.0,-1,-1,11.519680597463884,123.11172775756083,Carles
ZONE_00fa000000000000218e,0.5342105263157895,1.347705914870094,26.93874155466286,2900.7104981878597,3.8205517771127684,0,0.0,-1,-1,11.511506339871717,123.11163870437407,Carles
ZONE_00fa00000000000021ba,0.5410974762676546,1.2164256198347108,26.944638571018398,2900.034944303189,3.833011925801353,4,0.08283103691927783,-1,-1,11.504589454254214,123.1634723107814,Carles
ZONE_00fa0000000000002238,0.42714285714285716,1.3501779359430606,26.844098242675006,2907.8082950167604,3.648800115344774,0,0.37794826385745584,-1,-1,11.495965731159927,123.09986940990169,Carles
ZONE_00fa000000000000223c,0.5174693106704438,1.1177675371223759,26.869611807482638,2904.9625200079126,3.702126811161604,6,0.6767190097218336,-1,-1,11.495695869975421,123.10175749108605,Carles
ZONE_00fa000000000000228b,0.49387755102040815,1.0006613756613756,26.883822966869268,2899.703325470274,3.759066289872518,21,0.24365328398437514,-1,-1,11.493540949451308,123.12735971033403,Balasan
ZONE_00fa00000000000022d8,0.39859154929577467,0.7952622673434856,26.855855832013408,2903.0884350802476,3.698601488058557,4,0.5270470638334351,-1,-1,11.488957413773306,123.10634133759653,Balasan
ZONE_00fa00000000000022f7,0.5356273896419882,1.050949720670391,26.836294256969232,2905.4077523204987,3.6566754834034065,14,0.5916139765840523,-1,-1,11.48626284292426,123.10984484000062,Balasan
ZONE_00fa0000000000002336,0.39869281045751637,0.9869178440607012,26.82783170281705,2903.0835755318412,3.661777461949139,14,0.5916139765840523,-1,-1,11.481504013138155,123.10382421309959,Balasan
ZONE_00fa000000000000236f,-0.14533622559652928,1.0175438596491229,26.837254135367633,2898.5432332481055,3.702734221600186,4,0.22829221091118793,-1,-1,11.475035733053243,123.13535553519061,Estancia
ZONE_00fa000000000000239e,0.7060104529616724,1.7077600440286187,26.836125038880738,2898.6910437792258,3.7002084886471938,4,0.22829221091118793,-1,-1,11.47377591371451,123.13373731102503,Estancia
